Product Name,URL,Price,Ratings,Delivery
Infinity (JBL) Fuze Pint Deep Bass Dual EQ Bluetooth 5.0 Wireless Portable Speaker (Charcoal Black),/Infinity-Fuze-Pint-Portable-Wireless/dp/B07W6VWZ8C/ref=sr_1_3?dchild=1&keywords=speakers&qid=1584619820&smid=A14CZOWI0VEHLG&sr=8-3,749,4.3 out of 5 stars,FREE Delivery by Amazon
F&D F-203G 2.1 Channel Multimedia Speakers System (Black),/F-203G-Channel-Multimedia-Speakers-System/dp/B00E2OY62S/ref=sr_1_4?dchild=1&keywords=speakers&qid=1584619820&sr=8-4,"1,199",4.0 out of 5 stars,FREE Delivery by Amazon
boAt Stone 1000 Bluetooth Speaker with Monstrous Sound,/Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=sr_1_5?dchild=1&keywords=speakers&qid=1584619820&sr=8-5,"2,799",4.4 out of 5 stars,FREE Delivery by Amazon
Zinq Technologies Beast Portable Laptop/Desktop USB Powered Multi-Media Speaker with AUX Input (Black),/Zinq-Technologies-ZQS-111-Beast-Computer/dp/B07NQNB1QC/ref=sr_1_6?dchild=1&keywords=speakers&qid=1584619820&sr=8-6,399,4.0 out of 5 stars,FREE Delivery over ₹499. Fulfilled by Amazon.
"iBall Decor 9-2.0 USB Powered Computer Multimedia Speakers with in-line Volume Controller, Black",/iBall-Decor-Computer-Multimedia-Speakers/dp/B017K7TO6G/ref=sr_1_7?dchild=1&keywords=speakers&qid=1584619820&sr=8-7,598,4.0 out of 5 stars,FREE Delivery by Amazon
HP Multimedia USB Speakers DHS-2101 (Black),/HP-Multimedia-Speakers-DHS-2101-Black/dp/B07DYHLT2Z/ref=sr_1_8?dchild=1&keywords=speakers&qid=1584619820&sr=8-8,697,4.4 out of 5 stars,FREE Delivery by Amazon
"Zebronics Zeb-Warrior 2.0 Multimedia Speaker with Aux Connectivity,USB Powered and Volume Control",/Zebronics-Zeb-Warrior-Multimedia-Speaker-Connectivity/dp/B07ZZBYWKF/ref=sr_1_9?dchild=1&keywords=speakers&qid=1584619820&sr=8-9,744,4.0 out of 5 stars,FREE Delivery by Amazon
Mi Compact Bluetooth Speaker 2 with in-Built mic and up to 6hrs Battery (White),/Mi-Compact-MDZ-28-Bluetooth-Speaker/dp/B07HHBZSW5/ref=sr_1_10?dchild=1&keywords=speakers&qid=1584619820&sr=8-10,799,4.3 out of 5 stars,FREE Delivery by Amazon
Vomoco X211 Splashproof & Waterproof Wireless Portable Mega Bass Bluetooth Speaker with Built in Mic/Rechargeable Battery/USB/Aux/SD Card Slot & FM Support for All Devices (Assorted Colour),/Vomoco-Splashproof-Waterproof-Bluetooth-Rechargeable/dp/B085WY45GW/ref=sr_1_13?dchild=1&keywords=speakers&qid=1584619820&sr=8-13,349,,
JBL GO Portable Wireless Bluetooth Speaker with Mic (Black),/JBL-Portable-Wireless-Bluetooth-Speaker/dp/B00TFGWAA8/ref=sr_1_14?dchild=1&keywords=speakers&qid=1584619820&smid=A14CZOWI0VEHLG&sr=8-14,"1,499",4.4 out of 5 stars,FREE Delivery by Amazon
boAt Stone 200 Portable Bluetooth Speakers (Black),/Stone-200-Portable-Bluetooth-Speakers/dp/B01JIP44OU/ref=sr_1_15?dchild=1&keywords=speakers&qid=1584619820&sr=8-15,"1,299",4.4 out of 5 stars,FREE Delivery by Amazon
"Terabyte Mini USB2.0 Speaker Compatible with PC, Laptop and Tablet (Black)",/Terabyte-Excellent-Acoustic-USB2-0-Speaker/dp/B00QWV6MTE/ref=sr_1_16?dchild=1&keywords=speakers&qid=1584619820&sr=8-16,228,3.5 out of 5 stars,FREE Delivery over ₹499. Fulfilled by Amazon.
SBA999 A008 Wireless |Bluetooth Speaker |A2DP Stereo with 6 Hour Playback Time and TF/USB/AUX Audio Port Compatible with All Smartphones,/SBA999-Wireless-Bluetooth-Compatible-Smartphones/dp/B083WQQKT4/ref=sr_1_17?dchild=1&keywords=speakers&qid=1584619820&sr=8-17,399,2.9 out of 5 stars,FREE Delivery over ₹499. Fulfilled by Amazon.
SBA999 A006 Bluetooth |Sub-Woofer Speaker with| Megabass | TF Card Compatible with All Smartphone Device,/SBA999-Bluetooth-Sub-Woofer-Compatible-Smartphone/dp/B083WS6VP5/ref=sr_1_18?dchild=1&keywords=speakers&qid=1584619820&sr=8-18,399,3.0 out of 5 stars,FREE Delivery over ₹499. Fulfilled by Amazon.
"Zebronics Zeb-S999 2.0 Multimedia Speaker with Aux Connectivity,USB Powered and Volume Control",/Zebronics-Zeb-S999-Multimedia-Speaker-Connectivity/dp/B07ZRYZWG3/ref=sr_1_19?dchild=1&keywords=speakers&qid=1584619820&sr=8-19,686,3.8 out of 5 stars,FREE Delivery by Amazon
Pikyo Mini Lightweight Portable High Boom Bass Wireless Bluetooth V4.2 Stereo Speaker with SD/USB & AUX Support Use for All Devices (Random Colour),/Pikyo-Lightweight-Portable-Wireless-Bluetooth/dp/B085LGL5DR/ref=sr_1_20?dchild=1&keywords=speakers&qid=1584619820&sr=8-20,279,3.9 out of 5 stars,
"JBL Flip 3 Stealth Waterproof Portable Bluetooth Speaker with Rich Deep Bass (Black), Without Mic",/JBL-Stealth-Waterproof-Portable-Bluetooth/dp/B07HHHMWQG/ref=sr_1_19?dchild=1&keywords=speakers&qid=1584619830&smid=A14CZOWI0VEHLG&sr=8-19,"4,399",4.5 out of 5 stars,FREE Delivery by Amazon
"iBall Tarang Classic 2.1 Multimedia Speaker with Bluetooth, USB, FM Radio & Remote Control (Black)",/iBall-Tarang-Classic-Multimedia-Bluetooth/dp/B07RWJFV91/ref=sr_1_20?dchild=1&keywords=speakers&qid=1584619830&sr=8-20,"3,364",4.1 out of 5 stars,FREE Delivery by Amazon
F&D E200 Soundbar Speaker System (Black),/E200-Soundbar-Speaker-System-Black/dp/B008ZXS7PY/ref=sr_1_21?dchild=1&keywords=speakers&qid=1584619830&sr=8-21,999,4.0 out of 5 stars,FREE Delivery by Amazon
Infinity (JBL) Fuze 100 Deep Bass Dual Equalizer IPX7 Waterproof Portable Wireless Speaker (Charcoal Black),/Infinity-Fuze-100-Waterproof-Portable/dp/B07W7Z6DVL/ref=sr_1_22?dchild=1&keywords=speakers&qid=1584619830&smid=A14CZOWI0VEHLG&sr=8-22,"1,299",4.3 out of 5 stars,FREE Delivery by Amazon
SWAPKART SKTG-113 Splash & Water Proof High Bass Sound Wireless Bluetooth Speaker for Mobile/Tv with USB/AUX/SD Card Support All Devices Compatible,/SWAPKART-SKTG-113-Wireless-Bluetooth-Compatible/dp/B07ZJ2DB3Q/ref=sr_1_23?dchild=1&keywords=speakers&qid=1584619830&sr=8-23,549,4.2 out of 5 stars,
iBall Musi Play A1 Wireless Ultra-Portable Bluetooth Speakers with FM | Micro SD Card Slot & Built-in Mic (Yellow),/iBall-A1-Ultra-Portable-Bluetooth-Yellow/dp/B07TBNBCKB/ref=sr_1_24?dchild=1&keywords=speakers&qid=1584619830&smid=A14CZOWI0VEHLG&sr=8-24,529,3.9 out of 5 stars,FREE Delivery by Amazon
Mossto Portable Wireless Bluetooth Speaker Powerful Sound Support with USB/Aux/Tf Card Compatible with All Devices (Multicolor),/Portable-Wireless-Bluetooth-Compatible-Multicolor/dp/B085TJZ8SK/ref=sr_1_25?dchild=1&keywords=speakers&qid=1584619830&sr=8-25,399,5.0 out of 5 stars,
Venganza Bluetooth Speaker Portable Wireless Speaker with Mic Super Bass Splashproof Wireless Bluetooth Speaker (Multicolour),/Venganza-Bluetooth-Portable-Splashproof-Multicolour/dp/B085TGSKJN/ref=sr_1_26?dchild=1&keywords=speakers&qid=1584619830&sr=8-26,499,5.0 out of 5 stars,
SPIN CART Laptop Speaker Clip on External USB Powered Small Mini Wired Portable Stereo Multimedia Sound Bar Computer Soundbar for Desktop PC Monitor Notebook Tablets TV,/SPIN-CART-External-Portable-Multimedia/dp/B083DWHQ8S/ref=sr_1_29?dchild=1&keywords=speakers&qid=1584619830&sr=8-29,599,3.7 out of 5 stars,FREE Delivery by Amazon
Logitech Z120 Stereo Speaker (Black and White),/Logitech-Stereo-Speaker-Black-White/dp/B008HOODVS/ref=sr_1_30?dchild=1&keywords=speakers&qid=1584619830&sr=8-30,899,4.1 out of 5 stars,FREE Delivery by Amazon
Bamchak's TG-113 Portable Bluetooth Wireless Speaker with Powerful Sound | Enhanced Bass | Mic Compatible All PC/Laptop & Smartphone (Assorted Colour),/Bamchaks-TG-113-Bluetooth-Compatible-Smartphone/dp/B07Y82RKX3/ref=sr_1_31?dchild=1&keywords=speakers&qid=1584619830&sr=8-31,595,,
"boAt Stone 170 Portable Bluetooth Speakers with True Wireless Sound, Compact IPX 6 Water Resistant Design and HD Sound (Cobalt Blue)",/Stone-170-Portable-Bluetooth-Resistant/dp/B07RCML4XR/ref=sr_1_32?dchild=1&keywords=speakers&qid=1584619830&smid=A14CZOWI0VEHLG&sr=8-32,999,4.2 out of 5 stars,FREE Delivery by Amazon
Redragon Orpheus GS550 Stereo Gaming Speakers Sound bar for PC with Red LED Backlight and Volume Control,/Redragon-Orpheus-GS550-Speakers-Backlight/dp/B07Y33FYZS/ref=sr_1_33?dchild=1&keywords=speakers&qid=1584619830&sr=8-33,"1,189",4.0 out of 5 stars,FREE Delivery by Amazon
